video_id,crawl_time,music_id,music_mid,music_title,music_author,music_owner_id,music_owner_nickname,music_duration,music_shoot_duration,is_original_sound,is_commerce_music,music_status,music_collect_count,music_cover_url_list,music_play_url_list
7605247823310834982,2026-05-09 22:05:43.052991,7605247851366452018,,@大象放映室创作的原声,大象放映室,106065875187,大象放映室,413,,False,,,,,
7605256340319128867,2026-05-09 22:05:46.171950,,,直播间带货榜,,,,,,,,,,,
7605259543337061684,2026-05-09 22:05:48.915133,7605260445535996682,,@午夜场沸客创作的原声,午夜场沸客,1359447910002776,午夜场沸客,239,,False,,,,,
7605268571102721275,2026-05-09 22:05:56.561247,7605268542086286122,,@甄知棒创作的原声,甄知棒,4453497454202109,甄知棒,830,,False,,,,,
7605294820663381497,2026-05-09 22:06:05.265564,7605294617336367872,,@Mr野兽中文版创作的原声,Mr野兽中文版,7576847707413054513,Mr野兽中文版,1546,,False,,,,,
7605300919302933769,2026-05-09 22:06:08.914458,7605301000504675135,,Love Me Again,足球的记忆,93480519330,足球的记忆,468,,False,,,,,
7605305458317061236,2026-05-09 22:06:12.781533,7580653128249248563,,抱紧你该怎么忘记你,CuanXi·,1680466365130461,CuanXi·,17,,False,,,,,
7605309309672508722,2026-05-09 22:06:19.129342,7605309654498904878,,@熙熙足球创作的原声,熙熙足球,1431988157550595,熙熙足球,530,,False,,,,,
7605333789232876826,2026-05-09 22:06:27.574101,7448139789557039115,,我的世界,我的世界柠檬,4323725741947923,我的世界柠檬,958,,False,,,,,
7605374785064946995,2026-05-09 22:06:41.500155,7605375960975690547,,@宇宙深空记创作的原声,宇宙深空记,111422788675,宇宙深空记,589,,False,,,,,
7605384723913544803,2026-05-09 22:06:56.328659,7539769176890540059,,王者荣耀,谪止（国服兰陵王）,94913177576,谪止（国服兰陵王）,627,,False,,,,,
7605399688351542345,2026-05-09 22:07:04.981402,,,直播间带货榜,,,,,,,,,,,
7605426394411373989,2026-05-09 22:07:08.135287,7605426327918758698,,@虾吃虾吃呀创作的原声,虾吃虾吃呀,1275082594062543,虾吃虾吃呀,259,,False,,,,,
7605440470504874161,2026-05-09 22:07:15.014922,7584084532714799141,,@饺子WTF创作的原声,饺子WTF,2518346399230276,饺子WTF,36,,False,,,,,
7605448696087889657,2026-05-09 22:07:29.764770,7605448529909156617,,@品味影视创作的原声,品味影视,55539553020,品味影视,72,,False,,,,,
7605451404043373878,2026-05-09 22:07:38.350605,7605452059437009718,,Первый снег,金开心俱乐部,1640938741174014,金开心俱乐部,982,,False,,,,,
7605453761003212042,2026-05-09 22:07:54.115330,7605453801125858098,,"Unshaken Theme (From ""Red Dead Redemption II"")",历史其实挺有趣,536214489021671,历史其实挺有趣,638,,False,,,,,
7605460172823072019,2026-05-09 22:07:59.646262,7605460369506601737,,@南疆利剑创作的原声,南疆利剑,3952086217144025,南疆利剑,202,,False,,,,,
7605466435598470438,2026-05-09 22:08:03.010973,7605467126459124486,,三角洲行动,杨齐家切片鼠,3256088029837872,杨齐家切片鼠,1301,,False,,,,,
7605474182641536290,2026-05-09 22:08:07.699497,7605474322811308841,,@夏叔厨房创作的原声,夏叔厨房,2273413469048935,夏叔厨房,83,,False,,,,,
7605477165496797681,2026-05-09 22:08:21.146753,7605477103202798362,,@杨迪欣创作的原声,杨迪欣,3262973273973896,杨迪欣,283,,False,,,,,
